T_air,sol_dir,sol_diff
6.2,0,0
5.3,0,0
5.0,0,0
5.6,0,0
4.7,0,0
4.9,0,0
4.7,0,0
4.6,0,0
4.7,0,0
5.2,0,0
5.6,0,0
4.9,0,0
5.0,0,14
5.3,0,58
7.5,0,83
8.9,49,125
7.5,0,104
8.3,19,163
8.8,0,104
8.7,39,130
8.0,58,81
7.7,0,34
7.3,0,6
7.0,0,0
6.7,0,0
7.3,0,0
7.4,0,0
7.5,0,0
7.3,0,0
6.2,0,0
5.8,0,0
5.2,0,0
4.5,0,0
4.3,0,0
4.4,0,0
4.4,0,0
4.8,1,26
5.6,11,87
6.8,25,145
7.7,55,190
8.7,92,216
9.1,64,223
9.2,0,137
8.9,3,145
7.0,0,93
5.5,0,57
5.4,0,1
4.5,0,0
4.4,0,0
3.6,0,0
3.4,0,0
3.0,0,0
2.5,0,0
2.8,0,0
2.1,0,0
2.2,0,0
1.7,0,0
2.4,0,0
2.4,0,0
2.4,0,0
2.6,3,28
2.7,11,81
2.8,9,122
3.5,1,130
3.9,9,178
5.0,6,174
6.7,155,167
8.0,194,122
4.4,14,118
0.7,0,14
0.7,0,1
0.6,0,0
0.9,0,0
0.8,0,0
0.8,0,0
0.7,0,0
0.8,0,0
0.8,0,0
0.1,0,0
-0.6,0,0
-1.2,0,0
-1.7,0,0
-1.4,0,0
-1.5,0,0
-1.9,29,32
-0.7,35,95
1.1,199,106
2.2,389,75
3.2,440,80
4.3,211,213
4.2,198,203
5.7,238,146
5.7,195,104
3.9,76,80
2.6,2,20
1.3,0,0
0.4,0,0
0.2,0,0
-0.6,0,0
-0.8,0,0
-0.2,0,0
0.0,0,0
0.7,0,0
1.1,0,0
1.2,0,0
1.0,0,0
1.4,0,0
1.7,0,0
1.7,0,26
2.5,1,69
3.7,0,89
4.7,6,167
5.5,30,227
6.6,65,260
7.0,5,182
6.8,0,134
6.6,0,80
6.7,0,48
6.6,0,8
6.0,0,0
6.2,0,0
6.3,0,0
6.1,0,0
5.9,0,0
6.1,0,0
6.2,0,0
6.1,0,0
6.1,0,0
6.3,0,0
6.2,0,0
5.8,0,0
5.8,0,1
5.9,2,35
6.4,6,99
7.0,4,139
7.8,43,244
9.6,50,282
10.9,10,226
10.6,0,138
10.6,0,59
10.2,0,49
9.8,0,36
9.4,0,4
9.0,0,0
8.9,0,0
8.3,0,0
8.1,0,0
7.8,0,0
7.6,0,0
7.4,0,0
7.0,0,0
6.8,0,0
6.5,0,0
6.4,0,0
6.2,0,0
6.0,0,2
6.1,0,16
6.6,0,57
7.2,0,102
7.6,0,133
7.9,0,158
8.6,0,149
8.7,0,103
8.7,0,110
9.3,12,154
9.3,22,116
8.7,0,17
7.4,0,0
6.5,0,0
5.9,0,0
5.8,0,0
5.1,0,0
4.7,0,0
4.2,0,0
4.1,0,0
3.6,0,0
3.3,0,0
3.0,0,0
2.8,0,0
2.7,0,3
3.2,28,41
5.2,127,89
7.9,245,116
9.5,328,136
10.7,299,186
11.7,83,250
11.2,3,173
11.0,11,171
11.2,69,160
10.5,40,99
9.8,0,22
9.1,0,0
8.5,0,0
8.3,0,0
6.7,0,0
5.8,0,0
5.4,0,0
5.2,0,0
4.6,0,0
4.6,0,0
5.0,0,0
5.0,0,0
4.5,0,0
4.2,0,4
5.4,46,45
7.4,163,79
10.5,280,99
11.9,372,111
13.1,411,122
13.7,403,138
14.7,387,134
15.0,320,124
15.1,200,118
